,Total Debt,Total Assets,Total Liquidity,Stockholders Equity,Debt to Asset Ratio,Equity Ratio,Asset Growth,Liquidity to Debt Ratio
2021,354599000000.0,3743567000000.0,1002532000000.0,294127000000.0,9.472222615489452,7.856864856432382,,2.827227375147702
2022,339892000000.0,3665743000000.0,882826000000.0,292332000000.0,9.27211754888436,7.974699808469933,-2.0788729038374365,2.5973721064338084
2023,436537000000.0,3875393000000.0,900303000000.0,327878000000.0,11.264328546808027,8.460509682501877,5.719167983134654,2.062375010594749
2024,454311000000.0,4002814000000.0,764318000000.0,344758000000.0,11.349790422437815,8.61289083130018,3.287950409158502,1.6823673650869118
